,dir/5WEKPBBWFKF47XDYW5QBC36KFVBYJFE5.pdf,dir/IM4NOHWT2KSDC4FBCAXQW722XG3AZCNP.pdf,dir/CS4O7BCLPRK6J5MKIK7BPBFC2UURCM7X.pdf,dir/HGJIJLL3ZVEO2ISTFZSKH53BIC2K3UYX.pdf,dir/BNAB3PKSEPVY6LVEMD6PZQXWXMDDTQ7U.pdf,dir/KAI53AEUTC4X3GRV6WZDEZUWVEYPTPPU.pdf,dir/6RWOLVNDX4CTI4PAGDGMWC3FFBTVW3TK.pdf,dir/LFGBSD5XRLBIZCRBVWTKQPP2JEVRWRRS.pdf,dir/EKWVDOMQ3BRDHPPTHV47A37AY2NUS7XK.pdf,dir/6A2V6MYYSW4C6QUKXJX7BEGNPYKZGV6O.pdf
t,"['0', '210', '749', '863']",[],[],['2446'],"['2450', '6116']",[],['74'],[],[],[]
journal,['1'],[],[],[],[],[],[],[],[],[]
of,['2'],[],[],"['2', '6', '1719', '1850']","['4', '12', '20']",[],[],[],[],[]
the,['3'],[],[],"['3', '45', '48', '81', '133', '223', '234', '284', '296', '301', '307', '318', '411', '419', '475', '622', '651', '740', '790', '1036', '1056', '1152', '1435', '1615', '1653', '1691', '1760', '1839', '2056', '2183', '2232', '2403', '2407', '2430', '2456', '2459']","['13', '130', '274', '302', '1499', '1779', '1864', '1892', '2101', '2386', '2401', '2541', '2739', '2769', '2860', '3245', '3358', '3432', '3756', '4145', '4299', '4657', '4814', '5033', '5204', '5961', '6018', '6110', '6137', '6722', '6773', '6889']","['11', '20', '70', '133', '144', '294', '467', '553', '592', '633', '650', '709', '721', '814']",['406'],[],"['15', '72', '95', '123', '138', '149', '189', '202', '232', '245', '257', '268', '287', '326', '346', '376', '397', '433', '458', '473', '481', '496', '509', '537', '559', '582', '596', '610', '634', '695', '708', '721', '757', '779']","['118', '162', '176', '187', '263', '300', '308', '360', '500', '610', '691', '787', '872', '1072', '1145', '1175', '1353', '1373', '1389', '1570']"
june,['4'],[],[],[],"['584', '599', '1473', '6646']",[],[],[],[],[]
categori,['5'],[],[],[],[],[],[],[],[],[]
discretionari,['6'],[],[],[],[],[],[],[],[],[]
spend,['7'],[],[],"['156', '555', '573', '590', '671', '677', '802', '813', '1169', '1227', '1257', '1268', '1346', '1362', '1383', '1632', '1706', '1731', '1737', '1800', '2220', '2343']",[],[],[],[],[],[]
limit,['8'],[],[],['1413'],['2113'],[],['423'],"['101', '188']","['208', '523', '689']","['128', '618', '689', '727', '819', '1091', '1190', '1231']"
c,"['9', '39', '41', '388']",[],[],[],"['327', '342', '349', '373', '391', '431', '457', '1068', '1156', '1305', '1477', '1535', '1570', '1576', '1586', '2023', '2100', '3146', '3338', '3739', '3751', '3768', '3796', '3977', '4035', '4140', '4205', '4231', '4259', '4280', '4298', '4407', '4414', '4420', '4425', '4550', '4656', '4792', '4893', '5096', '5343', '5640', '5645', '5723', '5742', '5916', '5920', '5933', '5956', '5985', '6219', '6223', '6245', '6355', '6467', '6509']","['2', '42', '280', '291', '940', '988']","['36', '130', '131', '136', '147', '177', '185', '194', '216', '217', '220', '223', '265', '286', '287', '310', '316', '339', '429', '460', '461', '532', '551', '561', '568', '589']",[],"['226', '665']",['53']
strike,"['10', '129', '175', '859']",[],[],[],[],[],[],[],[],[]
fiscal,"['11', '16', '23', '226', '899', '921']",[],[],"['1418', '1423', '1453']",[],[],['488'],[],[],[]
year,"['12', '17', '30', '227', '900', '909', '922']",[],[],"['55', '67', '89', '97', '106', '126', '161', '169', '183', '327', '569', '668', '683', '736', '743', '748', '763', '773', '829', '835', '840', '843', '848', '857', '991', '997', '1004', '1076', '1184', '1186', '1298', '1507', '1570', '1572', '1574', '1576', '1652', '1659', '1667', '1686', '1690', '1696', '1713', '1747', '1750', '1781', '1791', '1812', '1836', '1864', '1993', '2197', '2346', '2351', '2377', '2389', '2469', '2472', '2490', '2496']",[],"['132', '137', '359', '372', '780', '853']","['420', '424', '428', '437', '487', '489']",[],['531'],"['262', '745', '1109']"
mrazek,['13'],[],[],[],[],[],[],[],[],[]
ritter,['14'],[],[],[],[],[],[],[],[],[]
stagger,['15'],[],[],[],[],[],[],[],[],[]
defin,['18'],[],[],[],[],[],[],[],[],[]
