('t', 'journal'): [0]
('journal', 'of'): [0]
('of', 'the'): [0, 3]
('the', 'june'): [0]
('june', 'category'): [0]
('category', 'discretionary'): [0]
('discretionary', 'spending'): [0]
('spending', 'limits'): [0]
('limits', 'c'): [0]
('c', 'striking'): [0]
('striking', 'fiscal'): [0]
('fiscal', 'year'): [0]
('year', 'mrazek'): [0]
('mrazek', 'ritter'): [0]
('ritter', 'staggers'): [0]
('staggers', 'defined'): [0]
('defined', 'section'): [0]
('section', 'inserting'): [0]
('inserting', 'lieu'): [0]
('lieu', 'thereof'): [0]
('thereof', 'murtha'): [0]
('murtha', 'roberts'): [0]
('roberts', 'stallings'): [0]
('stallings', 'congressional'): [0]
('congressional', 'budget'): [0]
('budget', 'act'): [0]
('act', 'myers'): [0]
('myers', 'roe'): [0]
('roe', 'stark'): [0]
('stark', 'nagle'): [0]
('nagle', 'rohrabacher'): [0]
('rohrabacher', 'stearns'): [0]
('stearns', 'purposes'): [0]
('purposes', 'part'): [0]
('part', 'balanced'): [0]
('balanced', 'technical'): [0]
('technical', 'revisions'): [0]
('revisions', 'to'): [0]
('to', 'public'): [0]
('public', 'law'): [0]
('law', 'natcher'): [0]
('natcher', 'roslehtinen'): [0]
('roslehtinen', 'stenholm'): [0]
('stenholm', 'emergency'): [0]
('emergency', 'deficit'): [0]
('deficit', 'control'): [0]
('control', 'amended'): [0]
('amended', 'neal'): [0]
('neal', 'ma'): [0]
('ma', 'rose'): [0]
('rose', 'stokes'): [0]
('stokes', 'stat'): [0]
('stat', 'strik'): [0]
('strik', 'nc'): [0]
('nc', 'rostenkowski'): [0]
('rostenkowski', 'studds'): [0]
('studds', 'reporting'): [0]
('reporting', 'requirements'): [0]
('requirements', 'not'): [0]
('not', 'less'): [0]
('less', 'ing'): [0]
('ing', 'contained'): [0]
('contained', 'hr'): [0]
('hr', 'passed'): [0]
('passed', 'nichols'): [0]
('nichols', 'roukema'): [0]
('roukema', 'sundquist'): [0]
('sundquist', 'days'): [0]
('days', 'obligation'): [0]
('obligation', 'funds'): [0]
('funds', 'senate'): [0]
('senate', 'november'): [0]
('november', 'nussle'): [0]
('nussle', 'rowland'): [0]
('rowland', 'swett'): [0]
('swett', 'secretary'): [0]
('secretary', 'defense'): [0]
('defense', 'oakar'): [0]
('oakar', 'roybal'): [0]
('roybal', 'swift'): [0]
('swift', 'title'): [0]
('title', 'ii'): [0]
('ii', 'oberstar'): [0]
('oberstar', 'russo'): [0]
('russo', 'synar'): [0]
('synar', 'coordination'): [0]
('coordination', 'en'): [0]
('en', 'obey'): [0]
('obey', 'sabo'): [0]
('sabo', 'tanner'): [0]
('tanner', 'ergy'): [0]
('ergy', 'shall'): [0]
('shall', 'transmit'): [0]
('transmit', 'committees'): [0]
('committees', 'olver'): [0]
('olver', 'sanders'): [0]
('sanders', 'tauzin'): [0]
('tauzin', 'congress'): [0]
('congress', 'named'): [0]
('named', 'subsection'): [0]
('subsection', 'e'): [0]
('e', 'report'): [0]
('report', 'ortiz'): [0]
('ortiz', 'sangmeister'): [0]
('sangmeister', 'taylor'): [0]
('taylor', 'ms'): [0]
('ms', 'a'): [0]
('a', 'proposed'): [0]
('proposed', 'each'): [0]
('each', 'orton'): [0]
('orton', 'santorum'): [0]
('santorum', 'thomas'): [0]
('thomas', 'ga'): [0]
('ga', 'insert'): [0]
('insert', 'specify'): [0]
('specify', 'owens'): [0]
('owens', 'ut'): [0]
('ut', 'sarpalius'): [0]
('sarpalius', 'wy'): [0]
('wy', 'oxley'): [0]
('oxley', 'savage'): [0]
('savage', 'thornton'): [0]
('thornton', 'account'): [0]
('account', 'activity'): [0]
('activity', 'par'): [0]
('par', 'packard'): [0]
('packard', 'sawyer'): [0]
('sawyer', 'torres'): [0]
('torres', 'ticular'): [0]
('ticular', 'program'): [0]
('program', 'pro'): [0]
('pro', 'posed'): [0]
('posed', 'obligated'): [0]
('obligated', 'derived'): [0]
('derived', 'b'): [0]
('b', 'pallone'): [0]
('pallone', 'saxton'): [0]
('saxton', 'torricelli'): [0]
('torricelli', 'it'): [0]
('it', 'decided'): [0]
('decided', 'yeas'): [0]
('yeas', 'panetta'): [0]
('panetta', 'scheuer'): [0]
('scheuer', 'towns'): [0]
('towns', 'affirmative'): [0]
('affirmative', 'nays'): [0]
('nays', 'amount'): [0]
('amount', 'parker'): [0]
('parker', 'schiff'): [0]
('schiff', 'unsoeld'): [0]
('unsoeld', 'activities'): [0]
('activities', 'forms'): [0]
('forms', 'assistance'): [0]
('assistance', 'pastor'): [0]
('pastor', 'schroeder'): [0]
('schroeder', 'upton'): [0]
('upton', 'plans'): [0]
('plans', 'patterson'): [0]
('patterson', 'schulze'): [0]
('schulze', 'vander'): [0]
('vander', 'jagt'): [0]
('jagt', 'obligate'): [0]
('obligate', 'roll'): [0]
('roll', 'no'): [0]
('no', 'paxon'): [0]
('paxon', 'schumer'): [0]
('schumer', 'vento'): [0]
('vento', 'later'): [0]
('later', 'end'): [0]
('end', 'ayes'): [0]
('ayes', 'payne'): [0]
('payne', 'nj'): [0]
('nj', 'serrano'): [0]
('serrano', 'visclosky'): [0]
('visclosky', 'quarter'): [0]
('quarter', 'years'): [0]
('years', 'va'): [0]
('va', 'sharp'): [0]
('sharp', 'vucanovich'): [0]
('vucanovich', 'abercrombie'): [0]
('abercrombie', 'dooley'): [0]
('dooley', 'johnson'): [0]
('johnson', 'ct'): [0]
('ct', 'pease'): [0]
('pease', 'shaw'): [0]
