,dir/5WEKPBBWFKF47XDYW5QBC36KFVBYJFE5.pdf,dir/IM4NOHWT2KSDC4FBCAXQW722XG3AZCNP.pdf,dir/CS4O7BCLPRK6J5MKIK7BPBFC2UURCM7X.pdf,dir/HGJIJLL3ZVEO2ISTFZSKH53BIC2K3UYX.pdf,dir/BNAB3PKSEPVY6LVEMD6PZQXWXMDDTQ7U.pdf,dir/KAI53AEUTC4X3GRV6WZDEZUWVEYPTPPU.pdf,dir/6RWOLVNDX4CTI4PAGDGMWC3FFBTVW3TK.pdf,dir/LFGBSD5XRLBIZCRBVWTKQPP2JEVRWRRS.pdf,dir/EKWVDOMQ3BRDHPPTHV47A37AY2NUS7XK.pdf,dir/6A2V6MYYSW4C6QUKXJX7BEGNPYKZGV6O.pdf
"('t', 'journal')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('journal', 'of')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('of', 'the')",1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"('the', 'june')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('june', 'category')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('category', 'discretionary')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('discretionary', 'spending')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('spending', 'limits')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('limits', 'c')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('c', 'striking')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('striking', 'fiscal')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('fiscal', 'year')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('year', 'mrazek')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('mrazek', 'ritter')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('ritter', 'staggers')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('staggers', 'defined')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('defined', 'section')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('section', 'inserting')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('inserting', 'lieu')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('lieu', 'thereof')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('thereof', 'murtha')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('murtha', 'roberts')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('roberts', 'stallings')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('stallings', 'congressional')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('congressional', 'budget')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('budget', 'act')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('act', 'myers')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('myers', 'roe')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('roe', 'stark')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('stark', 'nagle')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('nagle', 'rohrabacher')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('rohrabacher', 'stearns')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('stearns', 'purposes')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('purposes', 'part')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('part', 'balanced')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('balanced', 'technical')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('technical', 'revisions')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('revisions', 'to')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('to', 'public')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('public', 'law')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('law', 'natcher')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('natcher', 'roslehtinen')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('roslehtinen', 'stenholm')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('stenholm', 'emergency')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('emergency', 'deficit')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('deficit', 'control')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('control', 'amended')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('amended', 'neal')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('neal', 'ma')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('ma', 'rose')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('rose', 'stokes')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('stokes', 'stat')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('stat', 'strik')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('strik', 'nc')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('nc', 'rostenkowski')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('rostenkowski', 'studds')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('studds', 'reporting')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('reporting', 'requirements')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('requirements', 'not')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('not', 'less')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('less', 'ing')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('ing', 'contained')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('contained', 'hr')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('hr', 'passed')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('passed', 'nichols')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('nichols', 'roukema')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('roukema', 'sundquist')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('sundquist', 'days')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('days', 'obligation')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('obligation', 'funds')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('funds', 'senate')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('senate', 'november')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('november', 'nussle')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('nussle', 'rowland')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('rowland', 'swett')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('swett', 'secretary')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('secretary', 'defense')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('defense', 'oakar')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('oakar', 'roybal')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('roybal', 'swift')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('swift', 'title')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('title', 'ii')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('ii', 'oberstar')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('oberstar', 'russo')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('russo', 'synar')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('synar', 'coordination')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('coordination', 'en')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('en', 'obey')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('obey', 'sabo')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('sabo', 'tanner')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
