,dir/5WEKPBBWFKF47XDYW5QBC36KFVBYJFE5.pdf,dir/IM4NOHWT2KSDC4FBCAXQW722XG3AZCNP.pdf,dir/CS4O7BCLPRK6J5MKIK7BPBFC2UURCM7X.pdf,dir/HGJIJLL3ZVEO2ISTFZSKH53BIC2K3UYX.pdf,dir/BNAB3PKSEPVY6LVEMD6PZQXWXMDDTQ7U.pdf,dir/KAI53AEUTC4X3GRV6WZDEZUWVEYPTPPU.pdf,dir/6RWOLVNDX4CTI4PAGDGMWC3FFBTVW3TK.pdf,dir/LFGBSD5XRLBIZCRBVWTKQPP2JEVRWRRS.pdf,dir/EKWVDOMQ3BRDHPPTHV47A37AY2NUS7XK.pdf,dir/6A2V6MYYSW4C6QUKXJX7BEGNPYKZGV6O.pdf
t,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
journal,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
of,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
the,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
june,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
categori,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
discretionari,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
spend,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
limit,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
c,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
strike,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fiscal,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
year,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0
mrazek,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ritter,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stagger,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
defin,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
section,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
insert,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lieu,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
thereof,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
murtha,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
robert,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
stall,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
congression,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
budget,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
act,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
myer,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
roe,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stark,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nagl,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rohrabach,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stearn,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
purpos,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
part,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
balanc,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
technic,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
revis,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
to,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
public,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
law,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
natcher,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
roslehtinen,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stenholm,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emerg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deficit,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
control,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
amended,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
neal,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ma,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rose,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stoke,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stat,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
strik,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nc,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rostenkowski,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
studd,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
report,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
